Belegnummer;Personennummer;Buchungsdatum;Betrag;Verwendungszweck
14907;10154;19.06.2025;3736,17;Dauerauftrag Januar
10861;10210;05.02.2025;7705,01;Gutschrift Vorgang 8395
12114;10553;09.08.2025;-445,59;Gutschrift Vorgang 3845
12849;10315;09.04.2025;1491,55;Lastschrift DE57999999990000010315
10056;10672;23.10.2025;1529,09;Dauerauftrag Februar
15719;10175;26.12.2025;-1410,40;Beitrag Januar – Kundennummer 10175
15264;10378;01.01.2025;167,06;Gutschrift Vorgang 3602
14970;10434;07.06.2025;8164,24;Lastschrift DE86999999990000010434
11036;10805;25.11.2025;4673,68;Dauerauftrag Juli
12590;10189;23.12.2025;2607,27;Überweisung an Monika Mühlbauer
10119;10693;16.09.2025;4023,42;Beitrag Mai – Kundennummer 10693
11995;10385;31.12.2025;4492,11;Beitrag August – Kundennummer 10385
10826;10021;12.06.2025;6965,75;Rechnung 2024-5758, Rückfragen unter (050) 8781818
11638;10798;18.06.2025;3498,35;Rechnung 2024-0043, Rückfragen unter +49 72 40983425
13437;10462;30.01.2025;7605,82;"Miete April; Konto DE24999999990000010462"
12660;10245;12.07.2025;6204,26;Beitrag September – Kundennummer 10245
10805;10406;10.05.2025;6252,57;"Miete August; Konto DE58999999990000010406"
15621;10385;08.09.2025;3772,08;"Miete März; Konto DE37999999990000010385"
12401;10658;02.10.2025;8265,01;"Miete September; Konto DE40999999990000010658"
14690;10105;28.12.2025;-845,53;Lastschrift DE27999999990000010105
12884;10679;11.12.2025;4201,47;Rückzahlung an anja.steinkamp@beispiel-firma.de
14760;10154;14.02.2025;6775,90;Rechnung 2024-3552, Rückfragen unter 0768/847736-82
13626;10504;24.04.2025;6002,06;Beitrag August – Kundennummer 10504
14704;10742;11.07.2025;6202,04;Beitrag April – Kundennummer 10742
13136;10623;24.01.2025;3422,18;Überweisung an Nadine Wachsmuth
15180;10364;14.06.2025;8529,19;Dauerauftrag Mai
11393;10357;25.09.2025;1947,81;Überweisung an Nadine Grünwald
10910;10105;23.05.2025;3061,01;Gutschrift Vorgang 4551
12765;10805;21.11.2025;5849,06;Rechnung 2024-6416, Rückfragen unter (050) 3975423
10315;10147;07.08.2025;-1584,52;Beitrag Oktober – Kundennummer 10147
13353;10238;07.03.2025;-2779,96;"Miete Juli; Konto DE70999999990000010238"
13556;10252;13.03.2025;735,71;"Miete Dezember; Konto DE84999999990000010252"
12674;10098;14.04.2025;1737,87;Gutschrift Vorgang 7656
11512;10091;15.12.2025;2458,38;"Miete Oktober; Konto DE13999999990000010091"
12226;10609;08.04.2025;-652,14;Rückzahlung an elke.vollmering@beispiel-firma.de
11183;10217;09.12.2025;7060,73;"Miete Juni; Konto DE49999999990000010217"
12352;10595;20.01.2025;172,98;Rückzahlung an franziska.uhlenbrock@beispiel-firma.de
11533;10259;28.11.2025;4886,83;Rechnung 2024-6173, Rückfragen unter (068) 4447597
15537;10812;15.09.2025;-2108,92;Gutschrift Vorgang 9535
13367;10434;09.04.2025;-1366,79;Gutschrift Vorgang 5126
10987;10756;16.04.2025;18,19;Rechnung 2024-2949, Rückfragen unter 0417/282553-17
14263;10070;29.03.2025;4085,56;"Miete August; Konto DE82999999990000010070"
13451;10651;18.03.2025;3698,41;Rechnung 2024-4619, Rückfragen unter +49 35 80365538
11708;10714;09.12.2025;2446,01;Rechnung 2024-0135, Rückfragen unter (065) 6768387
13829;10427;11.07.2025;-884,24;Beitrag September – Kundennummer 10427
14410;10686;01.09.2025;-477,04;Rechnung 2024-8215, Rückfragen unter +49 32 75316739
