Personennummer;IBAN;BIC;Belegnummer;Kontostand;Eröffnungsdatum
10000;DE12999999990000010000;MUSTDEFF001;13535;6836,65;30.03.2010
10007;DE19999999990000010007;PROBDEFFXXX;15677;10742,82;20.11.1972
10014;DE26999999990000010014;BEISDEFF100;11372;43298,56;18.06.2005
10021;DE33999999990000010021;MUSTDEFF001;14802;15102,86;25.08.2009
10028;DE40999999990000010028;BEISDEFF100;10679;34741,05;28.02.1988
10035;DE47999999990000010035;BEISDEFF100;14480;24136,79;22.12.1985
10042;DE54999999990000010042;PROBDEFFXXX;14403;41848,74;01.07.1979
10049;DE61999999990000010049;TESTDEFFXXX;12170;2826,67;18.06.2000
10056;DE68999999990000010056;DEMODEFFXXX;10217;5455,57;22.07.2001
10063;DE75999999990000010063;DEMODEFFXXX;13507;14313,49;05.06.1981
10070;DE82999999990000010070;BEISDEFF100;14921;43815,58;18.04.2003
10077;DE89999999990000010077;MUSTDEFF001;11225;3805,94;19.07.2009
10084;DE06999999990000010084;TESTDEFFXXX;14165;3583,94;28.03.2017
10091;DE13999999990000010091;DEMODEFFXXX;14382;17295,55;30.07.2013
10098;DE20999999990000010098;PROBDEFFXXX;12744;37940,12;01.01.2037
10105;DE27999999990000010105;PROBDEFFXXX;11967;37259,19;03.08.2024
10112;DE34999999990000010112;BEISDEFF100;13808;19595,87;27.12.2012
10119;DE41999999990000010119;MUSTDEFF001;14214;3902,58;18.09.2002
10126;DE48999999990000010126;DEMODEFFXXX;12037;42874,52;10.11.1984
10133;DE55999999990000010133;MUSTDEFF001;13773;33769,54;17.08.1996
10140;DE62999999990000010140;TESTDEFFXXX;13213;10948,12;04.01.2003
10147;DE69999999990000010147;DEMODEFFXXX;10945;11237,20;18.12.1994
10154;DE76999999990000010154;BEISDEFF100;10609;17890,75;13.02.1996
10161;DE83999999990000010161;MUSTDEFF001;10693;151,53;06.08.2009
10168;DE90999999990000010168;DEMODEFFXXX;13619;19697,80;28.06.2000
10175;DE07999999990000010175;BEISDEFF100;13395;2670,88;11.05.2009
10182;DE14999999990000010182;MUSTDEFF001;15159;44029,20;02.07.2007
10189;DE21999999990000010189;DEMODEFFXXX;12520;20210,15;15.12.1988
10196;DE28999999990000010196;BEISDEFF100;15411;38823,57;09.08.2031
10203;DE35999999990000010203;BEISDEFF100;10154;24650,73;05.05.2013
10210;DE42999999990000010210;MUSTDEFF001;11295;5978,64;04.02.1988
